Date,Temperature(℃),Total(kWh),City(x10²kWh),County Town(x10²kWh),Town(x10²kWh),Countryside(x10²kWh)
18/08/19 12h,33.9,47.4089,15.9446,11.6237,11.4847,8.3559
18/08/19 13h,35,51.8795,17.7037,13.0749,12.6206,8.4803
18/08/19 14h,35.2,54.7765,18.0424,13.9471,13.5126,9.2744
18/08/19 15h,35.8,53.2088,17.5251,13.7045,12.8224,9.1568
18/08/19 16h,36.1,49.5097,16.413,12.4938,11.9823,8.6206
18/08/19 17h,35.6,45.7013,15.0929,11.3188,11.2418,8.0478
18/08/19 18h,35.3,44.1178,14.2641,10.7533,10.9146,8.1858
18/08/19 19h,34.5,44.2088,14.2367,10.9133,11.0936,7.9652
18/08/19 20h,33,55.0394,16.1958,13.6988,13.766,11.3788
18/08/19 21h,31.8,70.061,19.4801,17.7312,17.7426,15.1071
18/08/19 22h,30.6,80.2114,23.1053,21.7741,19.7032,15.6288
18/08/19 23h,29.8,80.6105,23.8518,22.6234,19.5822,14.5531
18/08/19 24h,29.3,75.3126,22.5064,20.8338,18.4125,13.5599
19/08/19 1h,28.8,65.0858,19.7687,18.2298,15.557,11.5303
19/08/19 2h,28.8,61.3113,18.5555,17.2763,14.5684,10.9111
19/08/19 3h,28.2,56.6051,17.5646,15.8196,13.2848,9.9361
19/08/19 4h,27.6,52.1708,16.3262,14.672,12.172,9.0006
19/08/19 5h,27.4,48.5323,15.3479,13.6969,11.263,8.2245
19/08/19 6h,27,45.2328,14.2967,12.4799,10.4508,8.0054
19/08/19 7h,26.7,42.0282,13.3724,11.5019,9.7378,7.4161
19/08/19 8h,27.6,35.7533,11.6321,9.5688,8.8164,5.736
19/08/19 9h,29.3,30.8589,9.8839,8.2115,7.8003,4.9632
19/08/19 10h,30.7,30.5301,9.7433,7.6045,7.6638,5.5185
19/08/19 11h,32,36.0489,11.0724,8.5288,9.385,7.0627
19/08/19 12h,33.2,42.795,13.361,10.3701,11.0047,8.0592
19/08/19 13h,34.2,47.8685,15.5933,11.6653,12.0247,8.5852
19/08/19 14h,35.3,52.1072,16.7664,13.1745,12.8597,9.3066
19/08/19 15h,36.1,49.443,15.7141,12.3911,12.3616,8.9762
19/08/19 16h,36.3,45.8693,14.5292,11.509,11.3691,8.462
19/08/19 17h,36.1,42.4436,13.2402,10.4764,10.7523,7.9747
19/08/19 18h,35.8,41.7949,13.0657,10.0573,10.343,8.3289
19/08/19 19h,34.6,42.9405,14.0932,10.6139,10.3931,7.8403
19/08/19 20h,33.1,54.0712,16.1658,13.367,13.3915,11.1469
19/08/19 21h,31.9,69.4605,19.3733,17.8258,17.4431,14.8183
19/08/19 22h,30.9,80.6728,23.7041,21.7394,19.5109,15.7184
19/08/19 23h,30.2,81.6504,24.8225,22.413,19.833,14.5819
19/08/19 24h,29.5,76.9309,23.146,21.221,18.9679,13.596
20/08/19 1h,29,65.1882,19.8904,18.2578,15.8861,11.1539
20/08/19 2h,28.4,61.5597,18.7163,17.1114,15.0548,10.6772
20/08/19 3h,28.3,56.6258,17.3071,15.8661,13.753,9.6996
20/08/19 4h,27.8,52.0659,16.0478,14.5478,12.678,8.7923
20/08/19 5h,27.4,47.8108,14.829,13.3783,11.5491,8.0544
20/08/19 6h,26.9,45.1028,13.8879,12.4445,10.7173,8.0531
20/08/19 7h,26.6,41.7262,12.7883,11.3991,9.9721,7.5667
20/08/19 8h,27.6,35.4081,11.2989,9.4677,8.8465,5.795
20/08/19 9h,29.2,30.7229,9.6277,8.0049,7.8296,5.2607
20/08/19 10h,30.7,30.2751,9.2781,7.4048,7.9862,5.606
20/08/19 11h,32.5,35.9308,10.6731,8.4167,9.6969,7.1441
20/08/19 12h,33.4,43.5309,13.383,11.0251,11.0235,8.0993
20/08/19 13h,34.7,50.1144,16.0293,12.7874,12.6195,8.6782
20/08/19 14h,35.4,53.1908,17.1007,13.619,13.1853,9.2858
20/08/19 15h,36.1,49.6132,15.6461,12.7033,12.3642,8.8996
20/08/19 16h,36.2,46.0043,14.4835,11.7585,11.4731,8.2892
20/08/19 17h,35.9,42.2362,13.2829,10.3101,10.4866,8.1566
20/08/19 18h,35.3,41.0537,12.9976,9.8328,10.0473,8.176
20/08/19 19h,34.3,42.892,13.9958,10.6111,10.7667,7.5184
20/08/19 20h,32.8,54.589,16.0087,13.5096,13.9402,11.1305
20/08/19 21h,31.8,70.1054,19.9589,17.884,17.395,14.8675
20/08/19 22h,30.6,81.6108,23.9599,22.4456,19.5904,15.6149
20/08/19 23h,30,81.8395,24.3626,22.839,19.974,14.6639
