group,att0post0,att0post1,avg_max_elec1,avg_min_elec1,att1_post0,att1post1,avg_max_elec2,avg_min_elec2,att0_user_cnt,att1_user_cnt,user_cnt,att0_monthave,att1_monthave,att_monthave,wind_direction_2mean_angle,wind_speed_2mean,relative_humidity,pressure_hpa,vapor_pressure_hpa,pm2.5
77,2.192,2.249,2.825,1.616,2.279,1.708,2.764,2.825,188,24,212,312.000,405.167,322.547,65.849,1.489,58.797,998.177,27.270,27.527
78,1.481,1.463,1.829,1.116,1.611,1.390,1.844,1.829,2182,524,2706,375.459,378.443,376.037,65.808,1.610,61.054,997.924,28.560,31.815
79,0.000,0.360,0.360,0.000,,,0.360,0.360,2,,2,424.000,,424.000,78.500,1.000,54.000,998.800,25.650,
80,1.071,1.109,1.409,0.772,1.005,1.031,1.405,1.409,1392,236,1628,260.276,268.534,261.473,62.790,1.630,60.389,997.978,27.909,29.424
81,0.741,0.717,0.974,0.484,0.588,0.742,0.962,0.974,716,114,830,128.911,123.193,128.125,61.124,1.687,60.880,997.912,28.041,30.254
82,1.723,1.590,2.043,1.269,2.870,2.914,2.343,2.043,132,24,156,518.667,598.833,531.000,64.705,1.574,60.006,998.034,27.861,31.133
83,0.735,0.735,0.735,0.735,1.315,1.960,1.353,0.735,4,4,8,194.500,26.000,110.250,78.500,1.000,54.000,998.800,25.650,
84,0.908,0.897,1.168,0.638,1.022,0.817,1.179,1.168,1970,288,2258,79.636,80.653,79.765,57.825,1.838,62.574,997.700,28.718,33.206
85,1.392,1.436,1.802,1.026,1.529,1.285,1.800,1.802,1132,222,1354,211.422,207.514,210.781,66.047,1.564,60.272,998.013,28.133,31.507
86,1.020,0.998,1.252,0.766,0.887,0.771,1.231,1.252,4702,600,5302,153.812,155.047,153.951,65.209,1.641,61.420,997.879,28.716,34.172
87,1.057,1.021,1.310,0.768,1.066,1.006,1.312,1.310,4366,756,5122,228.020,228.032,228.021,64.055,1.720,62.515,997.748,29.241,35.192
88,1.201,1.238,1.545,0.894,1.167,1.283,1.598,1.545,118,20,138,460.966,407.600,453.232,69.297,1.386,58.051,998.284,27.150,29.838
89,2.431,2.627,3.206,1.852,2.309,1.770,3.071,3.206,224,56,280,437.777,466.929,443.607,70.129,1.331,57.325,998.371,26.808,27.626
90,0.716,0.694,0.882,0.703,0.700,0.607,0.880,0.882,9428,1300,10728,121.083,119.232,120.859,67.190,1.654,62.338,997.789,29.420,36.791
91,1.029,0.994,1.253,1.021,0.959,0.811,1.245,1.253,6474,1036,7510,167.230,167.533,167.272,67.177,1.598,61.294,997.906,28.820,34.136
92,3.728,3.168,4.005,3.497,3.730,2.583,4.004,4.005,40,8,48,840.250,791.750,832.167,73.042,1.242,56.646,998.467,26.679,27.646
93,1.565,1.688,2.273,1.825,3.156,2.584,2.390,2.273,108,26,134,589.907,591.769,590.269,65.560,1.516,59.216,998.128,27.484,27.783
94,1.542,1.552,1.924,1.576,1.495,1.257,1.911,1.924,3014,804,3818,297.004,295.898,296.771,66.176,1.559,60.226,998.019,28.118,30.377
95,1.280,1.237,1.536,1.279,1.190,1.228,1.538,1.536,1248,180,1428,258.345,254.967,257.919,67.183,1.490,59.272,998.133,27.662,29.174
96,0.804,0.792,1.003,0.807,0.821,0.651,1.000,1.003,3054,382,3436,134.012,137.073,134.353,62.779,1.671,61.153,997.892,28.346,30.826
97,1.211,1.156,1.467,1.198,1.162,1.020,1.461,1.467,5094,830,5924,180.010,178.060,179.737,65.900,1.576,60.446,997.993,28.220,31.700
98,1.533,1.418,1.866,1.496,1.411,1.282,1.856,1.866,1428,250,1678,314.632,309.008,313.794,67.682,1.518,59.969,998.058,28.106,30.800
99,2.382,2.500,3.062,2.543,2.715,2.379,3.087,3.062,478,128,606,664.326,653.547,662.050,70.470,1.374,58.243,998.270,27.365,27.724
